[05:49:17:483]  PCM Hammer 021
[05:59:20:318]  TX: STPTO 250
[05:59:20:326]  OK
[05:59:20:327]  Reading from 167936 / 0x29000, length 1024 / 0x400
[05:59:20:327]  TX: STPX H:6D10F0, R:1, D:35010400029000
[05:59:21:449]  RX: 6D F0 10 36 01 04 00 02 90 00 00 00 06 9A 42 03 08 28 00 06 00 02 66 02 52 03 11 C3 AA 46 4A 38 AE 6A 67 12 08 38 00 05 A1 BC 56 C4 44 04 88 03 11 C4 AA 47 60 04 11 C3 AA 47 4E B9 00 07 C9 4C 4E B9 00 07 CF 0C 42 38 90 00 4C DF 01 47 4E 5E 4E 75 2F 00 4A 38 AF 9A 66 00 03 48 4E B9 00 07 9C F8 4E B9 00 07 9A D8 4E B9 00 07 3B C2 4E B9 00 07 3D 0C 4E B9 00 07 5F 6C 4E B9 00 07 88 D2 4E B9 00 07 5F AC 4A 39 00 00 92 A8 67 06 4E B9 00 02 C1 14 4E B9 00 07 6C 8A 4E B9 00 02 74 A4 4A 38 99 BE 66 0A 42 38 AC 93 42 38 AC 92 60 0A 52 38 AC 93 11 F8 99 BE AC 92 4E B9 00 03 A2 D2 70 02 4E B9 00 04 1C F0 4E B9 00 04 0C C0 4E B9 00 04 18 A0 70 02 4E B9 00 03 8C 30 4E B9 00 02 43 A0 4E B9 00 02 DD 94 4E B9 00 03 22 16 4E B9 00 03 21 D4 4E B9 00 02 F0 34 4E B9 00 03 18 46 4E B9 00 03 06 66 42 00 4E B9 00 03 0D DC 70 01 4E B9 00 03 0D DC 4E B9 00 03 0E 20 4E B9 00 03 0F 9C 42 00 4E B9 00 03 0F E6 42 00 4E B9 00 03 10 90 42 00 4E B9 00 03 12 8E 70 01 4E B9 00 03 0F E6 70 01 4E B9 00 03 10 90 70 01 4E B9 00 03 12 8E 4E B9 00 03 13 A6 4E B9 00 06 C0 6C 4A 38 AE 6A 67 06 4E B9 00 06 CA 02 0C 38 00 03 AD 13 66 16 0C 39 00 02 00 01 6E 1E 66 06 4E B9 00 03 77 8C 4E B9 00 03 80 92 4E B9 00 03 78 20 4E B9 00 02 A4 32 4E B9 00 07 8B 04 0C 39 00 02 00 01 6E 1E 67 4E 0C 39 00 04 00 01 6E 1E 67 44 4E B9 00 04 E9 F4 36 38 B0 26 C6 FC 00 05 EE 4B B6 39 00 01 6E A0 63 26 B6 39 00 01 6E A1 64 1E 08 38 00 02 AC A6 67 08 4A 39 00 01 C3 E3 66 0E 4A 39 00 01 6E B1 67 06 4E B9 00 04 E0 5E 4E B9 00 04 E7 BC 4A 38 AE 6A 67 06 4E B9 00 02 16 C6 08 38 00 03 98 2E 67 00 01 36 42 B8 A5 80 42 B8 A5 7C 42 B8 A5 84 42 38 A5 79 42 38 A5 70 42 38 A5 71 42 38 A5 74 42 38 A5 76 42 38 A5 77 42 38 A5 78 08 B8 00 05 A5 66 11 FC 00 FF A5 75 36 39 00 01 52 92 B6 78 8C 1A 63 04 31 C3 8C 1A 42 38 A9 91 42 38 A9 94 08 B8 00 06 A9 8C 02 38 00 CF A9 8C 02 38 00 FC A9 8C 4E B9 00 06 11 94 4E B9 00 06 0A EE 4E B9 00 06 AD 78 42 38 AD 80 42 78 AD 82 42 78 AD 84 42 78 AD 86 42 78 AD 88 42 78 8B F4 42 78 8B F6 42 78 8B F8 42 78 8B FA 42 78 AD 8A 42 78 AD 8C 42 78 AD 8E 42 78 AD 90 4E B9 00 06 7E 5C 4E B9 00 06 9F BA 4E B9 00 06 41 B6 4E B9 00 05 D7 62 4E B9 00 05 B6 4E 4E B9 00 05 AB F0 4E B9 00 06 47 6A 4E B9 00 06 4C C6 4E B9 00 06 1E 3A 42 78 8B FC 42 78 8B FE 42 78 8C 00 42 78 8C 02 42 78 AD 5E 42 78 AD 60 42 78 AD 62 42 78 AD 64 42 78 AD 66 42 78 AD 68 42 78 AD 6A 42 78 AD 6C 42 38 AD 5C 4E B9 00 06 55 DE 4E B9 00 06 4D 36 4E B9 00 06 4D 64 4E B9 00 05 98 58 42 78 8C 16 42 78 8C 18 08 B8 00 03 98 2E 4A 38 9E E9 67 06 4E B9 00 05 E8 90 4A 38 9F 06 67 06 4E B9 00 06 9A 1C 4A 38 9E F8 67 06 4E B9 00 06 55 54 4A 38 9E FE 67 06 4E B9 00 06 57 88 4A 38 9E E4 67 06 4E B9 00 05 CD 20 4A 38 9E F2 67 0C 4E B9 00 06 2D 44 4E B9 00 06 1F 3E 4E B9 00 03 25 88 4E B9 00 05 E4 1E 4E B9 00 07 7C 16 4E B9 00 07 29 4E 11 FC 00 10 90 01 31 FC 00 04 AE 34 20 1F 4E 75 48 E7 E0 00 4A 38 AF 9A 66 00 01 E0 4E B9 00 07 91 FA 36 38 A2 46 02 43 00 FF 31 F0 33 A0 A2 3E A2 3A 36 38 A2 46 02 43 00 FF 34 43 4A 38 AE 6A 67 08 42 83 36 38 90 30 60 06 42 83 36 38 A6 C6 EB 83 86 FC 00 05 0C 43 7F FF 63 04 36 3C 7F FF 3F 83 A3 A0 A2 3E 36 38 5F 1F
[05:59:21:451]  Processing message
[05:59:21:463]  Sending 'test device present' notification.
[05:59:21:463]  Setting timeout for Minimum, 0 ms.
[05:59:21:464]  TX: STPTO 0
[05:59:21:518]  OK
[05:59:21:520]  TX: STPX H:8CFEF0, R:0, D:3F
[05:59:21:532]  Empty response to STPX with data. OK.
[05:59:21:533]  Setting timeout for ReadMemoryBlock, 250 ms.
[05:59:21:535]  TX: STPTO 250
[05:59:21:543]  OK
[05:59:21:545]  Reading from 168960 / 0x29400, length 1024 / 0x400
[05:59:21:546]  TX: STPX H:6D10F0, R:1, D:35010400029400
[05:59:22:648]  RX: 6D F0 10 36 01 04 00 02 94 00 A2 46 52 43 31 C3 A2 46 72 03 B2 43 64 04 42 78 A2 46 74 02 B4 39 00 01 6E 1E 67 5A 0C 39 00 04 00 01 6E 1E 67 50 4E B9 00 04 81 0C 4E B9 00 04 A4 12 4E B9 00 04 A3 0E 4E B9 00 04 F7 8A 4E B9 00 04 A4 4C 4A 39 00 01 6E BD 67 06 4E B9 00 04 6E C0 4E B9 00 04 81 A0 4E B9 00 04 72 FC 4E B9 00 04 A2 FA 4E B9 00 07 C2 7A 4E B9 00 04 F0 58 4E B9 00 04 91 34 4E B9 00 03 C1 4E 20 01 4E B9 00 04 1C F0 20 01 4E B9 00 03 8C 30 4A 38 AE 6A 67 0C 4E B9 00 02 10 7A 4E B9 00 02 0D 3A B2 38 AD 13 66 06 4E B9 00 02 5C 5E B2 38 AD 13 66 06 4E B9 00 03 80 B4 4E B9 00 03 01 64 4E B9 00 07 87 30 4E B9 00 02 D3 8C 4E B9 00 03 25 EC 4A 38 9F 06 67 06 4E B9 00 06 9A 24 4A 38 9E F2 67 06 4E B9 00 06 30 0A 4E B9 00 05 A2 EE B4 38 AD 13 66 06 4E B9 00 06 B8 74 4E B9 00 07 7C BC 4E B9 00 07 0F 1C 4E B9 00 07 10 0E 4E B9 00 07 84 7A 4A 38 AE 73 67 14 4E B9 00 07 AF 86 4E B9 00 07 C0 80 4E B9 00 07 BB 58 60 06 08 B8 00 05 A8 8A 4A 39 00 00 92 A8 67 06 4E B9 00 07 07 2C 16 38 BF F6 52 03 11 C3 BF F6 B6 39 00 07 F1 3C 66 42 42 38 BF F6 11 F8 BF F1 BF F7 42 38 BF F1 36 38 BF EC 63 1C 02 83 00 00 FF FF E1 83 E1 83 4C 79 30 03 00 07 F1 38 31 C3 BF F2 42 78 BF EC 60 04 42 78 BF F2 36 38 BF F2 B6 78 BF F4 64 04 31 C3 BF F4 31 FC 00 08 AE 36 4C DF 00 07 4E 75 2F 00 4A 38 AF 9A 66 00 02 76 4E B9 00 07 7B DE 4E B9 00 07 79 DA 4E B9 00 07 3A 4E 4E B9 00 07 62 D4 4E B9 00 07 94 EE 4E B9 00 02 BF 32 4E B9 00 02 DE BA 4E B9 00 02 EC 3E 4E B9 00 03 02 0E 4E B9 00 02 B0 8A 4E B9 00 03 77 40 4E B9 00 07 4D DE 70 04 4E B9 00 04 1C F0 70 04 4E B9 00 03 8C 30 4A 38 AE 6A 67 06 4E B9 00 02 0C 98 4E B9 00 07 BF 7A 4A 38 AE 73 67 08 4E B9 00 07 BC D2 60 06 08 B8 00 00 A8 8A 0C 39 00 02 00 01 6E 1E 67 00 00 E4 0C 39 00 04 00 01 6E 1E 67 00 00 D8 4E B9 00 05 03 E2 4E B9 00 04 91 9E 4E B9 00 04 A2 D4 36 38 B0 26 C6 FC 00 05 EE 4B B6 39 00 01 6E A0 63 00 00 B2 B6 39 00 01 6E A1 64 00 00 A8 4E B9 00 04 E5 F0 4E B9 00 04 EF 84 08 38 00 02 AC A6 67 0A 4A 39 00 01 C3 E3 66 00 00 84 4E B9 00 04 F3 B4 4E B9 00 05 08 FA 08 38 00 00 93 94 67 28 4E B9 00 04 B1 04 4E B9 00 04 AD 2E 4A 39 00 01 6E B3 67 06 4E B9 00 04 AF 80 4A 39 00 01 6E BD 67 06 4E B9 00 04 AE 5A 4E B9 00 04 B0 7A 4E B9 00 04 AC FC 4E B9 00 04 AD 26 4E B9 00 04 B2 FE 4E B9 00 04 C8 EA 4E B9 00 04 C8 12 4A 39 00 01 6E B1 67 06 4E B9 00 04 CD AA 4E B9 00 04 DC D8 4A 39 00 01 6E B4 67 06 4E B9 00 04 F2 56 4E B9 00 04 AA 2A 4E B9 00 07 25 42 4A 38 9E E4 67 06 4E B9 00 05 CB 1C 4E B9 00 07 9E 42 16 38 AE 32 66 00 00 E4 4E B9 00 06 BE 42 4E B9 00 07 4F EA 4E B9 00 07 0C 8E 4E B9 00 07 17 5A 4E B9 00 02 CD 80 0C 39 00 06 00 00 80 27 66 06 36 3C 15 55 60 04 36 3C 10 00 2A 03 48 C5 36 39 00 00 80 28 48 C3 E1 83 E1 83 4C 45 38 03 69 0C 4A 83 6D 0E 0C 83 00 00 FF FF 63 08 36 3C FF FF 60 02 42 43 31 C3 AE 68 42 43 16 39 00 01 E5 C5 C6 FC 00 0C 11 F0 39 B0 00 01 E5 3C AE 6A 11 F0 39 B0 00 01 E5 3D AE 6B 11 F0 39 B0 00 01 E5 3E AE 6C 11 F0 39 B0 00 01 E5 3F AE 6D 11 F0 39 B0 00 01 E5 40 AE 6E 11 F0 39 B0 00 01 E5 41 AE 6F 11 F0 39 B0 00 01 E5 42 AE 70 11 F0 39 B0 00 01 E5 43 AE 71 11 F0 39 B0 00 01 E5 44 AE 72 11 F0 39 B0 00 01 64 6A
[05:59:22:649]  Processing message
[05:59:22:659]  Sending 'test device present' notification.
[05:59:22:659]  Setting timeout for Minimum, 0 ms.
[05:59:22:660]  TX: STPTO 0
[05:59:22:690]  OK
[05:59:22:691]  TX: STPX H:8CFEF0, R:0, D:3F
[05:59:22:703]  Empty response to STPX with data. OK.
[05:59:22:705]  Setting timeout for ReadMemoryBlock, 250 ms.
[05:59:22:707]  TX: STPTO 250
[05:59:22:714]  OK
[05:59:22:716]  Reading from 169984 / 0x29800, length 1024 / 0x400
[05:59:22:718]  TX: STPX H:6D10F0, R:1, D:35010400029800
[05:59:23:804]  RX: 6D F0 10 36 01 04 00 02 98 00 E5 45 AE 73 11 F0 39 B0 00 01 E5 46 AE 74 11 FC 00 04 AE 32 60 06 53 03 11 C3 AE 32 31 FC 00 10 AE 38 20 1F 4E 75 4E 56 FF FE 48 E7 E3 80 4A 38 AF 9A 66 00 04 20 4E B9 00 06 E8 C0 4A 38 AE 6A 66 12 4A 38 9F 1F 67 0C 4E B9 00 06 B1 DC 4E B9 00 06 AD A4 4A 38 9F 1D 67 06 4E B9 00 06 B3 34 4A 38 9E F4 67 06 4E B9 00 06 41 86 4A 38 9E FA 67 12 4E B9 00 06 48 28 4E B9 00 06 49 C4 4E B9 00 06 48 E4 4A 38 9E EB 67 06 4E B9 00 06 01 DE 4A 38 9E EB 67 08 4E B9 00 05 EB 90 60 0C 11 FC 00 07 9B 2F 08 F8 00 04 9B 24 4E B9 00 05 C9 B8 4A 38 9E FE 67 0C 4E B9 00 06 58 36 4E B9 00 06 71 DC 4A 38 9E EE 67 0C 4E B9 00 06 12 74 4E B9 00 06 0B 9E 4A 38 9F 06 67 0C 4E B9 00 06 9A 38 4E B9 00 06 82 28 4E B9 00 05 B6 BE 4E B9 00 05 AC E0 4A 38 9E F2 67 0C 4E B9 00 06 31 26 4E B9 00 06 23 EA 4A 38 9E E8 67 06 4E B9 00 06 42 9A 4E B9 00 07 09 24 4E B9 00 07 0A 66 4E B9 00 06 F7 A6 4E B9 00 05 E4 B2 4E B9 00 02 B5 E2 4E B9 00 06 B4 1A 4A 38 AC 94 67 26 30 38 A6 B0 20 7C 00 FF A6 AE 4E B9 00 02 71 9C 4A 00 67 12 42 38 AC 94 7E 01 13 C7 00 FF 9E D1 4E B9 00 03 BA 44 4E B9 00 07 C6 CC 42 01 42 85 1A 01 16 30 51 B0 00 00 33 2A 67 78 42 85 1A 03 10 30 51 A0 9B EE 67 6C 0C 00 00 FF 67 66 52 00 42 85 1A 03 1F 80 51 A0 9B EE 14 39 00 01 E7 6C B0 02 65 50 4A 39 00 01 E7 6D 67 48 2C 00 9C 02 02 86 00 00 00 FF 28 06 1E 39 00 01 E7 6D 42 85 1A 07 4C 45 40 05 4A 05 66 2A 02 47 00 FF 8C C7 52 06 10 39 00 01 E7 6E 52 00 B0 06 64 0E 02 43 00 FF 1F BC 00 FF 31 A0 9B EE 60 08 20 01 4E B9 00 04 0C 74 52 01 0C 01 00 7A 63 00 FF 72 70 05 4E B9 00 04 1C F0 4A 38 93 E8 67 14 0C 38 00 03 AD 13 66 0C 42 38 93 E8 42 38 93 E9 42 38 93 EA 20 7C 00 FF AC 90 4E B9 00 02 71 BC 30 38 B0 26 B0 79 00 01 E7 62 64 0E 11 FC 00 01 AC 9A 31 F8 B0 40 AC 90 60 1A 3D 78 AC 90 FF FE 30 38 B0 40 90 6E FF FE B0 79 00 01 E7 64 65 04 42 38 AC 9A 70 05 4E B9 00 03 8C 30 4E B9 00 07 2A 68 4E B9 00 02 DF D2 4E B9 00 06 BE 7E 4E B9 00 03 24 7E 4E B9 00 02 F9 E6 4E B9 00 02 F3 B2 72 02 B2 39 00 01 E5 C5 66 06 4E B9 00 02 F6 8E 4E B9 00 03 83 72 4A 39 00 00 92 A8 67 12 4E B9 00 02 C6 56 4E B9 00 02 C5 1E 4E B9 00 02 CA 7E 4A 38 AE 73 67 0C 4E B9 00 07 B5 D4 4E B9 00 07 B9 BE 4A 38 AE 6A 67 20 4E B9 00 06 C5 BA 4E B9 00 06 D2 EA 4E B9 00 02 1C 84 0C 38 00 03 AD 13 66 06 4E B9 00 02 5E 0A 4E B9 00 07 4F 02 4A 39 00 00 E3 F2 67 06 4E B9 00 07 63 4C 4E B9 00 07 96 7A 4E B9 00 04 6A FC 4E B9 00 04 6C B8 4E B9 00 04 6C F6 4E B9 00 04 5D AA 4E B9 00 06 BA 7E B2 39 00 01 6E 1E 67 3C 0C 39 00 04 00 01 6E 1E 67 32 4E B9 00 05 04 10 4E B9 00 04 72 96 4E B9 00 05 56 E0 4A 39 00 01 6E BF 67 06 4E B9 00 04 A1 AA 4E B9 00 04 79 6A 4A 38 AC D2 67 06 4E B9 00 0A 54 3E 4E B9 00 02 B1 6C 4E B9 00 03 25 F4 4E B9 00 07 3C 0E 4E B9 00 03 16 22 4E B9 00 06 BD 3A 4E B9 00 05 AA A6 4E B9 00 06 37 94 4E B9 00 02 BD 1C 4A 38 9F 07 67 0E 4A 38 99 90 67 08 70 14 4E B9 00 02 6D 54 4A 38 9F 08 67 14 08 38 00 00 80 3D 66 0C 4A 38 80 DE 67 06 4E B9 00 02 6C 24 11 FC 00 20 90 02 4A 38 AC D2 67 08 4E B9 00 02 61 5C 60 1A 0C B9 41 45 44 2A 00 09 40 00 66 08 4E B9 00 02 63 0A 60 06 4E B9 00 02 64 4C 4E B9 00 02 72 72 16 38 AE 31 5D 28
[05:59:23:806]  Processing message
[05:59:23:817]  Sending 'test device present' notification.
[05:59:23:818]  Setting timeout for Minimum, 0 ms.
[05:59:23:818]  TX: STPTO 0
[05:59:23:866]  OK
[05:59:23:867]  TX: STPX H:8CFEF0, R:0, D:3F
[05:59:23:879]  Empty response to STPX with data. OK.
[05:59:23:881]  Setting timeout for ReadMemoryBlock, 250 ms.
[05:59:23:882]  TX: STPTO 250
[05:59:23:889]  OK
[05:59:23:891]  Reading from 171008 / 0x29C00, length 1024 / 0x400
[05:59:23:892]  TX: STPX H:6D10F0, R:1, D:35010400029C00
[05:59:24:950]  RX: 6D F0 10 36 01 04 00 02 9C 00 66 4C 4A 38 9F 1D 67 14 0C 38 00 03 AD 13 66 0C 4E B9 00 06 B2 AC 4E B9 00 06 B2 F0 4A 38 9E E4 67 06 4E B9 00 05 CB BA 70 06 4E B9 00 04 1C F0 70 06 4E B9 00 03 8C 30 0C 38 00 03 AD 13 66 06 4E B9 00 03 84 FE 11 FC 00 01 AE 31 60 06 53 03 11 C3 AE 31 31 FC 00 20 AE 3A 4C DF 01 C7 4E 5E 4E 75 4E 56 FF F6 48 E7 E3 C0 4A 38 AF 9A 66 00 04 36 4E B9 00 07 15 F2 4E B9 00 07 07 9C 4E B9 00 07 56 98 4E B9 00 02 EC 36 4E B9 00 02 FA A6 4E B9 00 03 77 BC 4E B9 00 03 26 1C 4E B9 00 06 E5 BA 7E 02 4A 38 A1 4E 67 06 16 38 A1 50 60 02 42 03 BE 03 66 06 4E B9 00 06 B4 68 4A 38 9E F3 67 06 4E B9 00 06 3C 80 4A 38 9E E9 67 06 4E B9 00 05 E8 A0 4A 38 9E FE 67 06 4E B9 00 06 5B 2A 4A 38 9F 09 67 06 4E B9 00 06 BB 18 4E B9 00 05 A3 A2 7C 03 BC 38 AD 13 66 06 4E B9 00 06 B8 74 4E B9 00 06 A5 90 4E B9 00 07 2A 76 4A 39 00 00 E3 F2 67 06 4E B9 00 07 67 C4 70 07 4E B9 00 04 1C F0 70 07 4E B9 00 03 8C 30 11 FC 00 21 90 02 BE 38 AD 13 66 00 01 08 4A 38 99 92 66 00 01 00 38 38 99 96 26 04 D6 03 02 43 00 FF 24 30 35 A0 99 48 7A 01 BA 44 66 30 4A 38 99 9C 67 18 24 3C 00 00 3F FF 22 38 99 98 B2 B0 35 A0 99 44 66 18 42 38 99 9D 60 12 4A 38 99 9D 66 0C 21 FC 00 02 00 00 99 98 11 C5 99 9D 22 3C 00 00 3A 98 24 78 99 98 20 02 90 8A 52 80 0C 80 00 00 3A 98 64 02 22 00 26 01 3D 78 99 94 FF FA 10 2E FF FA 18 12 B1 04 1D 44 FF FE 42 44 18 2E FF FE 3D 70 43 B0 00 07 D3 24 FF FC 1D 6E FF FB FF FA 42 2E FF FB 30 2E FF FA 38 2E FF FC B1 44 3D 44 FF FA 53 83 52 8A 4A 83 66 C4 31 EE FF FA 99 94 D2 B8 99 98 21 C1 99 98 B2 82 63 46 4A 38 99 9C 67 06 42 38 99 9C 60 3A 36 38 99 96 02 43 00 FF 3F B8 99 94 33 A0 80 DE 52 78 99 96 42 78 99 94 36 38 99 96 0C 43 00 08 63 0A 11 C5 99 92 11 C5 80 DF 60 0E D6 03 02 43 00 FF 21 F0 35 A0 99 44 99 98 16 38 AE 33 66 00 02 5C 36 38 FF 36 C6 FC 07 43 86 FC 00 4F 02 83 00 00 FF FF E1 83 EF 83 86 F8 FF 38 31 C3 82 56 4E B9 00 07 19 68 4E B9 00 07 6A DE 4E B9 00 07 33 C4 4E B9 00 07 2B 26 4E B9 00 02 D5 54 4E B9 00 02 EA E6 4E B9 00 02 E9 66 26 38 AD 18 0C 83 00 00 FF FF 63 04 36 3C FF FF B6 78 A4 8A 64 08 11 FC 00 01 A4 88 60 04 42 38 A4 88 BC 38 AD 13 66 06 4E B9 00 03 01 C2 4E B9 00 03 21 6C 4E B9 00 03 06 4C 4E B9 00 03 26 24 4E B9 00 07 37 F8 4E B9 00 07 3C 28 4A 38 AE 6A 67 06 4E B9 00 02 06 46 4A 38 AE 73 67 0C 4E B9 00 07 C8 5C 4E B9 00 07 C3 58 4A 38 9E E9 67 06 4E B9 00 05 E8 AE 4A 38 9E E5 67 12 4E B9 00 05 D3 4A 4E B9 00 05 D2 E0 4E B9 00 05 CE F4 4A 38 9E E4 67 06 4E B9 00 05 CC E0 4A 38 9E DF 67 06 4E B9 00 05 BD 5A 4A 38 9F 06 67 0C 4E B9 00 06 9F 9A 4E B9 00 06 8C 5A 4A 38 9E F2 67 06 4E B9 00 06 34 86 4A 38 9E F8 67 06 4E B9 00 06 4D 8A 4E B9 00 05 A4 42 4E B9 00 03 8A 14 4E B9 00 02 60 FA 11 FC 00 22 90 02 4E B9 00 07 98 98 4A 39 00 01 E5 C4 66 20 22 79 00 00 12 A2 2D 49 FF F6 24 09 66 06 4E B9 00 00 06 9A 08 29 00 01 00 02 56 C3 44 03 60 02 42 03 1A 38 A2 39 28 03 BB 04 67 04 11 C3 A2 39 4A 04 67 06 4E B9 00 06 F7 34 4A 38 99 BA 66 28 30 38 A6 8E 20 7C 00 FF A6 8C 4E B9 00 02 71 9C 4A 00 67 36 76 01 11 C3 99 BA 31 FC 03 C0 A6 92 31 F8 B0 40 A6 90 60 22 30 38 A6 92 20 7C 00 FF A6 90 4E B9 00 02 71 9C 4A 00 67 0E 7A 6C
[05:59:24:951]  Processing message
[05:59:24:962]  Sending 'test device present' notification.
[05:59:24:962]  Setting timeout for Minimum, 0 ms.
[05:59:24:963]  TX: STPTO 0
[05:59:24:992]  OK
[05:59:24:993]  TX: STPX H:8CFEF0, R:0, D:3F
[05:59:25:006]  Empty response to STPX with data. OK.
[05:59:25:007]  Setting timeout for ReadMemoryBlock, 250 ms.
[05:59:25:009]  TX: STPTO 250
[05:59:25:018]  OK
[05:59:25:020]  Reading from 172032 / 0x2A000, length 1024 / 0x400
[05:59:25:021]  TX: STPX H:6D10F0, R:1, D:3501040002A000
[05:59:26:109]  RX: 6D F0 10 36 01 04 00 02 A0 00 70 20 4E B9 00 00 07 68 76 01 11 C3 BE 8F 72 01 42 86 1C 01 14 30 61 A0 A4 BB 67 22 41 F0 63 A0 A6 94 30 3C 03 20 4E B9 00 02 71 9C 4A 00 67 0E 20 02 4E B9 00 04 1A 84 42 30 61 A0 A4 BB 52 01 0C 01 00 0A 63 CA 30 3C 03 20 20 7C 00 FF A6 94 4E B9 00 02 71 9C 4A 00 67 2E 42 00 76 01 42 44 18 03 18 30 41 A0 A4 D8 66 02 70 01 52 03 0C 03 00 16 63 EA 4A 00 67 0A 10 3C 00 FF 4E B9 00 04 1A 84 31 F8 B0 40 A6 94 70 08 4E B9 00 04 1C F0 70 08 4E B9 00 03 8C 30 11 FC 00 01 AE 33 60 06 53 03 11 C3 AE 33 31 FC 00 A0 AE 3C 4C DF 03 C7 4E 5E 4E 75 31 FC 00 04 AE 34 31 FC 00 08 AE 36 31 FC 00 10 AE 38 31 FC 00 20 AE 3A 31 FC 00 A0 AE 3C 4E 75 4E 56 FF FE 48 E7 C0 80 4A 38 AE 74 67 6C 08 38 00 01 E2 F4 67 4A 31 FC 02 00 E2 F4 4A 38 BF F8 67 2A 3D 78 E2 38 FF FE 0C 2E 00 D9 FF FF 67 08 0C 2E 00 DC FF FF 66 04 42 03 60 02 76 01 4A 03 67 0A 31 F8 BF FA E1 9C 42 38 BF F8 4A 38 B0 4F 66 3A 42 01 30 3C 00 D8 4E B9 00 00 0F 58 60 2C 31 FC 10 00 E2 F4 4A 38 B0 4F 66 14 72 01 30 3C 00 D8 4E B9 00 00 0F 58 60 06 31 FC 10 00 E2 F4 20 7C 00 FF 95 3C 4E B9 00 02 87 C8 4C DF 01 03 4E 5E 4E 75 08 B8 00 00 FE 21 4E B9 00 02 89 26 4E 75 11 FC 00 01 B0 E4 26 38 B0 3E 52 83 21 C3 B0 3E 0C 83 7F FF FF FF 66 06 4E B9 00 00 06 9A 4E B9 00 02 17 DE 4A 38 AE 74 66 06 4E B9 00 07 1F CE 4E 75 4E B9 00 02 23 6E 4E 75 4A 38 AF 9A 67 08 4E B9 00 07 C7 DA 60 06 4E B9 00 02 2C BA 4E 75 4E B9 00 03 43 54 4E 75 4E B9 00 07 24 88 4E 75 4E B9 00 07 B3 28 4E 75 40 E7 02 7C F8 FF 2F 08 20 7C 00 FF 95 3C 4E B9 00 02 87 82 4E B9 00 02 89 A8 60 EC 40 E7 02 7C F8 FF 2F 08 20 7C 00 FF 95 42 4E B9 00 02 87 82 4E B9 00 02 8D C6 60 EC 40 E7 02 7C F8 FF 2F 08 20 7C 00 FF 95 48 4E B9 00 02 87 82 4E B9 00 02 90 48 60 EC 40 E7 02 7C F8 FF 2F 08 20 7C 00 FF 95 4E 4E B9 00 02 87 82 4E B9 00 02 93 A8 60 EC 40 E7 02 7C F8 FF 2F 08 20 7C 00 FF 95 54 4E B9 00 02 87 82 4E B9 00 02 95 9E 60 EC 40 E7 02 7C F8 FF 2F 08 20 7C 00 FF 95 5A 4E B9 00 02 87 82 4E B9 00 02 98 26 60 EC 40 E7 02 7C F8 FF 2F 08 20 7C 00 FF 95 60 4E B9 00 02 87 82 4E B9 00 02 9C 62 60 EC 48 E7 C0 C8 2F 3C 00 FF C8 72 72 64 22 7C 00 02 A2 86 20 3C 00 00 01 50 28 7C 00 FF 95 C6 20 4C 4E B9 00 02 86 96 70 50 22 7C 00 FF 95 60 20 4C 4E B9 00 02 86 FC 2F 3C 00 FF C7 1C 72 5A 22 7C 00 02 A2 6A 20 3C 00 00 01 56 28 7C 00 FF 95 B6 20 4C 4E B9 00 02 86 96 70 10 22 7C 00 FF 95 5A 20 4C 4E B9 00 02 86 FC 2F 3C 00 FF C4 5A 72 50 22 7C 00 02 A2 4E 20 3C 00 00 01 66 28 7C 00 FF 95 A6 20 4C 4E B9 00 02 86 96 70 08 22 7C 00 FF 95 54 20 4C 4E B9 00 02 86 FC 2F 3C 00 FF C5 C0 72 46 22 7C 00 02 A2 32 20 3C 00 00 01 5C 28 7C 00 FF 95 96 20 4C 4E B9 00 02 86 96 70 04 22 7C 00 FF 95 4E 20 4C 4E B9 00 02 86 FC 2F 3C 00 FF C1 36 72 3C 22 7C 00 02 A2 16 20 3C 00 00 01 AC 28 7C 00 FF 95 86 20 4C 4E B9 00 02 86 96 70 02 22 7C 00 FF 95 48 20 4C 4E B9 00 02 86 FC 2F 3C 00 FF C2 E2 72 32 22 7C 00 02 A1 FA 20 3C 00 00 01 78 28 7C 00 FF 95 76 20 4C 4E B9 00 02 86 96 70 01 22 7C 00 FF 95 42 20 4C 4E B9 00 02 86 FC 42 B8 95 3C 42 78 95 40 2F 3C 00 FF C9 C2 72 0A 22 7C 00 02 A1 DE 20 3C 00 00 01 36 28 7C 00 FF 95 66 20 4C 4E B9 00 02 86 96 20 4C 4E B9 78 9B
[05:59:26:111]  Processing message
[05:59:26:122]  Sending 'test device present' notification.
[05:59:26:122]  Setting timeout for Minimum, 0 ms.
[05:59:26:123]  TX: STPTO 0
[05:59:26:177]  OK
[05:59:26:179]  TX: STPX H:8CFEF0, R:0, D:3F
[05:59:26:203]  Empty response to STPX with data. OK.
[05:59:26:204]  Setting timeout for ReadMemoryBlock, 250 ms.
[05:59:26:204]  TX: STPTO 250
[05:59:26:212]  OK
[05:59:26:212]  Reading from 173056 / 0x2A400, length 1024 / 0x400
[05:59:26:213]  TX: STPX H:6D10F0, R:1, D:3501040002A400
